"assessment_category","Check","Model","n","sensitivity","specificity","PPV","NPV","mcnemar_p","performance_level"
"Critical Agreement Assessment","Expression of concern","Gemini 2.5 Pro",22,0.4,1,1,0.666666666666667,0.0412268333371636,"Poor"
"Critical Agreement Assessment","Expression of concern","ChatGPT 5",22,0.5,0.666666666666667,0.555555555555556,0.615384615384615,1,"Poor"
"Critical Agreement Assessment","Expression of concern","Claude Sonnet 4",22,0.2,0.75,0.4,0.529411764705882,0.227799993988229,"Poor"
"Critical Agreement Assessment","Retraction","Claude Sonnet 4",22,0.5,1,1,0.9,0.479500122186953,"Poor"
"Critical Agreement Assessment","Retraction","ChatGPT 5",22,0.5,0.944444444444444,0.666666666666667,0.894736842105263,1,"Poor"
"Critical Agreement Assessment","Retraction","Gemini 2.5 Pro",22,0.25,0.944444444444444,0.5,0.85,0.617075077451974,"Poor"
